"","time","d2_bw1","k_bw1","UD2_1","UD2_2","U_K","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","vRatio"
"73",3.9,2.89464458781571,0.442733997326827,0.0808248799152206,0.185628934202914,0.00294645691145063,1.919,0.35,1,-1.68428123240166,-0.738123749826018,0.985861573999287,0.421797865001774,0.850141228842171,1.16548384612591
"74",3.933,2.87957059875154,0.443342133430566,0.0807082445684264,0.185578179593714,0.00472984784542956,1.919,0.35,1,-1.70786811903859,-0.747256190264848,0.999200412695143,0.424676925827511,0.859501195589302,1.17831570237986
"75",3.967,2.86401324762241,0.443931443844321,0.0803357488267574,0.185416484001709,0.00738465707055367,1.919,0.35,1,-1.73260975322108,-0.756904065246209,1.01302091372778,0.427819998342349,0.869444486421005,1.19194725493668
"76",4,2.84888955954192,0.444467035040923,0.0801974254922662,0.185356594313738,0.00994535553131523,1.919,0.35,1,-1.7570812995493,-0.766465510287838,1.0265214050764,0.431047916510865,0.879358678122388,1.20553891463197
"77",4.033,2.83374423618669,0.444966611410966,0.0800893063679659,0.185309840522574,0.0123454424604747,1.919,0.35,1,-1.78203343147055,-0.77618125603892,1.04011917564061,0.434454571183198,0.889498800813207,1.21944030982718
"78",4.067,2.81811939183495,0.445443538132829,0.0798929689300201,0.185225069805502,0.0146130824175577,1.919,0.35,1,-1.80827468220381,-0.786304061416868,1.05424436124942,0.438153830813017,0.900140464848005,1.23402928293857
"79",4.1,2.80293618048754,0.445869704055299,0.0797339069422791,0.185156517347567,0.0166056597598759,1.919,0.35,1,-1.83428954286734,-0.796184458741705,1.06808015023503,0.441928447050049,0.91060993002157,1.24838218351955
"80",4.133,2.78773737472264,0.446259690134505,0.0795643866716856,0.185083580110288,0.0183931056660642,1.919,0.35,1,-1.86086743750581,-0.806059509693425,1.08205475147618,0.445882635924978,0.921164077776924,1.26285117796562
"81",4.167,2.77206388454523,0.446623725445188,0.0794363172672304,0.185028561311437,0.0200245630879274,1.919,0.35,1,-1.88886390053664,-0.816158688668335,1.09661403305998,0.450140019188423,0.932062788638067,1.27779254420139
"82",4.2,2.75683984668493,0.446940532727939,0.0792976465747789,0.184969069717882,0.0214104688024631,1.919,0.35,1,-1.91665247157649,-0.825813934271708,1.1109176709956,0.45444320943831,0.942596034705169,1.29223288390259
"83",4.233,2.7416066122476,0.447221565422936,0.0792080305707367,0.184930668378435,0.0226093010005655,1.919,0.35,1,-1.94506371084256,-0.83524544362705,1.12540756517917,0.458905237938756,0.953010476598958,1.30651035143603
"84",4.267,2.72590443433227,0.447473979728193,0.0791389095336595,0.184901073556042,0.0236575064849775,1.919,0.35,1,-1.97499960467414,-0.844640023943608,1.140548598026,0.463655422877506,0.963531588071287,1.32093405546105
"85",4.3,2.71065920975624,0.447683272426697,0.0789332513518902,0.184813143929161,0.0245023812038346,1.919,0.35,1,-2.00470624145681,-0.853353602773106,1.15546687863768,0.46839839616702,0.973452324922837,1.33453468809699
"86",4.333,2.69541139984659,0.447857809961288,0.0787500065493067,0.184734954817749,0.0251864601897662,1.919,0.35,1,-2.03505573732876,-0.861573794705211,1.17062071265216,0.47325297020835,0.982994291709653,1.34761605360781
"87",4.367,2.67970115517255,0.448001788591723,0.078593123161853,0.184668132086547,0.0257328210639736,1.919,0.35,1,-2.06699232215567,-0.869423806130811,1.18649668938205,0.478348116256145,0.992327906990824,1.36041178385486
"88",4.4,2.66445486124081,0.448107299158464,0.0784348627035639,0.184600833387412,0.026118833972205,1.919,0.35,1,-2.09862591661838,-0.87633849414513,1.20217625575291,0.483358160783292,1.00080181250653,1.3720289124649
"89",4.433,2.64921263427804,0.448179709928469,0.0783116675030979,0.18454852279852,0.0263720651894293,1.919,0.35,1,-2.13086812225738,-0.882455182326646,1.21813636976436,0.488403101889296,1.00859542867804,1.38271341221933
"90",4.467,2.633515069397,0.448220420944455,0.0779782919304287,0.184407304661142,0.026503762234838,1.919,0.35,1,-2.16469724235727,-0.887812398018026,1.23488680884106,0.493603768940308,1.01580290154468,1.39259435071811
"91",4.5,2.61828775444987,0.448227812475788,0.0777629928694217,0.184316366771944,0.0265154030706397,1.919,0.35,1,-2.19808986267896,-0.891987823066249,1.2514533793521,0.498618403169454,1.02189167159622,1.4009416263202
"92",4.533,2.60307100524062,0.448204393640719,0.0775636165769304,0.184232338682689,0.0264214716409016,1.919,0.35,1,-2.2319920712356,-0.895049552761149,1.26833302319891,0.503562217746666,1.02698033527418,1.40791782640769
"93",4.567,2.58740638577649,0.448148981857509,0.0773706402617396,0.184151176956629,0.026223289598101,1.919,0.35,1,-2.26740417798658,-0.896931703268486,1.28605835324363,0.508538955746041,1.0310666078578,1.41351981878906
"94",4.6,2.57221742366272,0.448065817601725,0.0771970598774661,0.18407831500132,0.02594096831986,1.919,0.35,1,-2.30218654004752,-0.897422282459769,1.30359039797851,0.51321193259422,1.03380522382719,1.41727426871431
"95",4.633,2.55704516459528,0.447954740049215,0.0770393706383273,0.184012240430765,0.0255780266472117,1.919,0.35,1,-2.33731148114528,-0.89650096304472,1.32144608034644,0.517684660051156,1.03523494144682,1.41923431103865
"96",4.667,2.54143262735941,0.447812244521052,0.0767347963211052,0.183884934038766,0.0251277712687071,1.919,0.35,1,-2.37378575390029,-0.89398047206693,1.34017816656931,0.522034670685997,1.03523972191722,1.41924086472743
"97",4.7,2.52630008231193,0.447647882687971,0.0765782345302086,0.183819656195315,0.0246240865789631,1.919,0.35,1,-2.409385867645,-0.889923655390761,1.35867782081598,0.525957810663659,1.03372904139439,1.41716982795579
"98",4.733,2.51118980589201,0.447459061164047,0.0763865726560821,0.183739893551027,0.0240616321443562,1.919,0.35,1,-2.4450987048451,-0.884203466405578,1.37748030186634,0.52953868008972,1.03064396554523,1.4129404058971
"99",4.767,2.49564670386049,0.447240255723253,0.076214550379291,0.183668445002176,0.0234274778101559,1.919,0.35,1,-2.4819190506428,-0.876498219811151,1.39715330319241,0.532820548672045,1.02574210521909,1.40622030006967
"100",4.8,2.48058670065611,0.447005670074749,0.0759934227343126,0.183576796733345,0.0227651355890608,1.919,0.35,1,-2.51758614349232,-0.867200307557159,1.41651951842922,0.535563518808476,1.01924710257412,1.39731610814668
"101",4.833,2.46555375973226,0.446750559878079,0.07578975119795,0.183492578560135,0.022062369846571,1.919,0.35,1,-2.55308634472794,-0.856059856104036,1.43612914276963,0.537826577549363,1.01098758882161,1.38599289556878
"102",4.867,2.45009503850176,0.446467719196527,0.075536277231907,0.183388028993322,0.0213015884506439,1.919,0.35,1,-2.58938202137809,-0.842612625509709,1.45655723191679,0.539613100737296,1.0005889941208,1.37173715342262
"103",4.9,2.4351211761856,0.446175248874033,0.0753856150575929,0.183326023678068,0.0205325395895872,1.919,0.35,1,-2.62423284743126,-0.827619545052482,1.47656805086217,0.54077986644615,0.988633893464306,1.35534755105863
"104",4.933,2.42017822057672,0.445866573677646,0.0751647007207803,0.183235292000325,0.0197378394259682,1.919,0.35,1,-2.65860645972583,-0.810695345729924,1.49672171571225,0.541354891061153,0.974829247439772,1.33642235204788
"105",4.967,2.40481586623981,0.445533170771251,0.0749267125736869,0.183137795818067,0.0188965734331166,1.919,0.35,1,-2.6934111953503,-0.79123060797298,1.51759143175406,0.541299631275843,0.958671563056219,1.3142713029034
"106",5,2.38993871383184,0.445196206341854,0.0746792895007738,0.183036707466946,0.0180620737456655,1.919,0.35,1,-2.7264914762009,-0.770373998619871,1.53790297119188,0.540595712172764,0.941126889303004,1.2902187888608
