,time,x_acc,y_acc,z_acc
8865,17.72915394,-1.907538963,0.721256182,2.888190772
8866,17.73115394,0.011903793,0.162569991,0.71031218
8867,17.73315394,-0.038722088,-0.725559494,-2.365579382
8868,17.73515394,-1.41574505,2.48255547,-5.36367252
8869,17.73715394,1.031652921,1.306466839,-0.124112652
8870,17.73915394,1.606376689,1.939509718,2.718663857
8871,17.74115394,1.521036177,1.741982961,-1.242552603
8872,17.74315394,-1.07679298,-1.126745467,0.625433244
8873,17.74515394,-0.801484821,-0.583866875,-0.126078205
8874,17.74715394,-0.064276105,0.279790912,0.070813018
8875,17.74915394,-0.329941193,-2.242031166,0.959042638
8876,17.75115394,1.794415779,-2.633773763,0.970378887
8877,17.75315394,-1.511210946,1.199946634,1.985280071
8878,17.75515394,1.57648337,-0.314550602,-1.463592507
8879,17.75715394,3.302101491,1.945911896,3.238015572
8880,17.75915394,-1.022792077,1.290144837,4.985627054
8881,17.76115394,-0.929254799,-2.153224354,-2.745370385
8882,17.76315394,-4.602280259,1.9418104,-1.877728194
8883,17.76515394,0.12569138,-1.354344213,-4.373216386
8884,17.76715394,1.167619528,2.911522441,-5.008178787
8885,17.76915394,-1.328957902,1.687083956,4.322333719
8886,17.77115394,1.922667944,-0.46194607,0.847322681
8887,17.77315394,0.443428879,4.384233509,-3.136507327
8888,17.77515394,3.129491571,-5.360995306,3.958390693
8889,17.77715394,1.361444021,-0.63359197,2.439758044
8890,17.77915394,-0.912861672,-1.132890848,0.800570948
8891,17.78115394,-0.419621293,-6.284380382,2.297511452
8892,17.78315394,-0.936004917,0.834724464,-1.994621254
8893,17.78515394,0.013832403,-0.50583911,1.39054367
8894,17.78715394,-4.113861593,6.024563274,1.466842491
8895,17.78915394,0.044690028,4.305600089,-2.350610817
8896,17.79115394,1.91157822,0.239337993,-2.549495048
8897,17.79315394,0.327230457,1.942634091,-7.252234491
8898,17.79515394,4.154544449,-3.561824806,-2.352810556
8899,17.79715394,-1.769161664,1.340780838,0.873609729
8900,17.79915394,2.091420644,-1.105587913,1.891539996
8901,17.80115394,1.647359733,-1.718475396,8.6041501
8902,17.80315394,-3.186203257,2.462797384,4.65376437
8903,17.80515394,1.723057193,-4.026934046,1.618718999
8904,17.80715394,-4.619155814,-1.589708265,0.956957569
8905,17.80915394,0.336873509,-1.388260901,-1.929593272
8906,17.81115394,1.841666592,-1.136316433,-2.137723838
8907,17.81315394,-2.706463052,2.700896575,-5.258632536
8908,17.81515394,2.565857098,1.492320602,-3.617489577
8909,17.81715394,-1.586426503,3.984154674,2.045432125
8910,17.81915394,1.071671516,5.055212203,0.676028868
8911,17.82115394,1.40387345,0.325324874,-0.595053947
8912,17.82315394,-1.747464868,-4.372386824,-0.714671647
8913,17.82515394,2.017169285,-1.755161947,-1.214971875
8914,17.82715394,-0.536301832,-2.198687253,4.198879396
8915,17.82915394,2.254387512,-3.469992949,5.101601132
8916,17.83115394,0.562601016,0.509070956,0.050139988
8917,17.83315394,-1.505826432,-1.519006505,-0.096433404
8918,17.83515394,0.939642928,1.767396251,-0.174759958
8919,17.83715394,-2.360680046,1.683975733,-0.580233969
8920,17.83915394,-1.123480761,-0.542464289,-3.621075056
8921,17.84115394,-3.623433232,3.863631721,-3.937273883
8922,17.84315394,1.324399426,0.057248983,-0.858323359
8923,17.84515394,4.030230017,1.626406192,-3.120837817
8924,17.84715394,-1.007282392,-0.42107,3.264111234
8925,17.84915394,2.092465891,-3.221622654,4.876849773
8926,17.85115394,-1.714597763,1.509438032,2.627125945
8927,17.85315394,-2.589701608,-1.540320721,4.934152826
8928,17.85515394,2.440096566,-0.679801036,-2.99345158
8929,17.85715394,3.842673723,-1.477510244,0.508138029
8930,17.85915394,-1.768116488,-1.111986862,1.538367134
8931,17.86115394,-4.616181957,-0.444554884,-6.870729888
8932,17.86315394,2.101144495,-1.612647252,-0.097371765
8933,17.86515394,1.311381376,6.005821074,1.401408315
8934,17.86715394,0.726532332,3.181949082,0.044281284
8935,17.86915394,-1.131195176,0.271142156,0.343701848
8936,17.87115394,-5.371712454,3.581648373,-3.943898943
8937,17.87315394,1.842229329,-1.881488691,-1.846008015
8938,17.87515394,4.863386871,-2.818272473,-1.805648771
8939,17.87715394,2.834496115,-0.913018646,0.767744439
8940,17.87915394,0.686031655,-1.048726585,4.976657705
8941,17.88115394,-1.068515558,2.117624822,1.004289115
8942,17.88315394,-0.832743764,0.661755005,2.442772592
8943,17.88515394,-0.62011523,-2.658675073,2.712992502
8944,17.88715394,1.838372108,-0.460967331,-3.90077145
8945,17.88915394,-1.606595971,-1.619083347,1.503019484
8946,17.89115394,-2.238695793,0.576887375,4.370563251
8947,17.89315394,-0.510184828,4.579554873,-6.115019231
8948,17.89515394,2.262664977,-0.323679037,-3.010196734
8949,17.89715394,2.036536188,3.112842214,0.806743785
8950,17.89915394,-4.439232592,2.104332711,-3.65370291
8951,17.90115394,-3.090656384,-1.798405725,-0.513169371
8952,17.90315394,-0.461005405,2.674759729,0.703076619
8953,17.90515394,5.693650951,-1.504495008,1.156847995
8954,17.90715394,4.499845374,-2.221718299,2.911670003
8955,17.90915394,-2.648524083,-2.214477894,3.835626817
8956,17.91115394,-0.770546291,-3.016678641,2.105723884
8957,17.91315394,-1.178928114,-1.573927314,-2.273879962
8958,17.91515394,-0.008265746,-0.591422221,-0.062221156
8959,17.91715394,0.738103851,3.739780088,-0.419665098
8960,17.91915394,-2.618630764,2.89584001,-1.593898809
8961,17.92115394,-0.198715313,2.343999337,-0.838987616
8962,17.92315394,0.55633296,1.293806224,-6.097153211
8963,17.92515394,-0.104213759,-0.276029319,-4.322858179
8964,17.92715394,0.239077686,-0.18916545,0.603723333
8965,17.92915394,-2.474467634,-2.624475745,2.003518366
8966,17.93115394,1.310417071,-1.856605955,4.585595056
8967,17.93315394,1.57222501,-0.074228253,4.617626138
8968,17.93515394,0.095396708,0.138215386,3.683314236
8969,17.93715394,2.681172014,-1.777986263,2.43525197
8970,17.93915394,-2.339947555,-1.611767033,0.095777315
8971,17.94115394,-1.150481209,-0.555257341,-2.205574981
8972,17.94315394,0.883713511,-0.64654007,-2.870237096
8973,17.94515394,-4.055922481,3.452504929,-4.694489795
8974,17.94715394,1.50472393,0.75569858,-4.157033028
8975,17.94915394,0.574172535,2.664047708,0.048945636
8976,17.95115394,-2.738686264,4.511409786,0.139781796
8977,17.95315394,1.97482094,-2.120210496,1.210644708
8978,17.95515394,-1.45568274,1.252240515,0.971162201
8979,17.95715394,1.482062829,-3.088204092,-0.183778567
8980,17.95915394,-0.446540898,-3.264188098,4.484761548
8981,17.96115394,-0.69870582,-0.480181943,2.278669924
8982,17.96315394,4.505148981,-4.592367236,-2.765339239
8983,17.96515394,-2.679863931,0.975858265,-0.604419799
8984,17.96715394,0.901070862,-0.583379121,0.497914571
8985,17.96915394,-1.569470363,3.261735669,0.694013596
8986,17.97115394,-3.425751376,3.832662555,-1.410362687
8987,17.97315394,2.858603603,-2.516286354,-3.548593478
8988,17.97515394,-3.175997182,2.297756355,-1.047972561
8989,17.97715394,1.736156326,-1.637823125,-0.417135075
8990,17.97915394,-1.478825993,1.075746143,-2.288523896
8991,17.98115394,-2.740614874,-0.21899437,-0.613377034
8992,17.98315394,6.964118436,-4.006269092,3.136343838
8993,17.98515394,-1.99665604,5.292442481,4.470945343
8994,17.98715394,-0.015497964,-2.065682151,3.925368759
8995,17.98915394,-0.922423837,-3.297045294,-1.133544366
8996,17.99115394,-2.257981897,-3.007987893,-3.335761412
8997,17.99315394,2.076072559,-3.481569845,0.498195595
8998,17.99515394,-3.340892803,3.680035034,0.83832749
8999,17.99715394,1.966142335,-1.181420784,-2.491831832
9000,17.99915394,-2.544379548,3.221107514,-4.188393045
9001,18.00115394,-0.532845894,3.357193381,0.872560735
9002,18.00315394,2.305094406,4.004886654,3.083135014
9003,18.00515394,-3.845222576,2.303611022,-2.686030715
9004,18.00715394,4.624240319,-9.379493015,-5.7073584
9005,18.00915394,-0.970156775,-1.922453591,-2.912187194
9006,18.01115394,-0.386272036,-1.595571007,5.702231769
9007,18.01315394,3.002284652,0.910688963,7.318553365
9008,18.01515394,-2.557397597,2.203161096,0.162807997
9009,18.01715394,3.50227498,-6.160095099,-0.331786151
9010,18.01915394,-3.637897668,2.417764097,0.277844522
9011,18.02115394,-3.439251507,0.542837443,0.580375731
9012,18.02315394,-0.216072736,0.244704905,-1.918562272
9013,18.02515394,-1.493772653,1.366376632,-5.931880418
9014,18.02715394,7.321874388,-2.333546467,-3.064402062
9015,18.02915394,-0.159661095,6.313124038,0.169862669
9016,18.03115394,-1.463397146,1.693243872,2.898139667
9017,18.03315394,-0.655312228,-0.101726612,-0.264697326
9018,18.03515394,-0.956656547,-0.340001039,-2.096755709
