,time,d2_bw1,k_bw1,do,mf_xe,p_atm,x_loc_fit,x_vel_fit,y_loc_fit,y_vel_fit,tot_vel_fit
97,4.767,9.7019784974,0.5208398795,3.387,air,1,3.9338687501,0.667296959,-0.8727183764,-0.0461788353,0.6688929035
98,4.8,9.6842177832,0.5211298755,3.387,air,1,3.9558349468,0.6550753102,-0.8737785043,-0.0414956596,0.656388263
99,4.867,9.6481844889,0.521601866,3.387,air,1,3.9989879965,0.6301855389,-0.8753399992,-0.032333424,0.6310144719
100,4.9,9.6304527846,0.5217794277,3.387,air,1,4.0195331017,0.6179248074,-0.8758268421,-0.02801365,0.6185594815
101,4.934,9.6121967822,0.52192629,3.387,air,1,4.0402134956,0.6053156547,-0.876140772,-0.0237114633,0.6057798902
102,4.967,9.5944916556,0.522035137,3.387,air,1,4.0598148742,0.593116801,-0.8762692409,-0.0196905848,0.5934435599
103,5,9.5768014323,0.5221120919,3.387,air,1,4.0789549402,0.5809731735,-0.8762304603,-0.0158322468,0.5811888577
104,5.034,9.5585918624,0.5221593772,3.387,air,1,4.0981952792,0.5685361079,-0.8760227131,-0.0120370412,0.5686635176
105,5.067,9.5409351069,0.522175518,3.387,air,1,4.1164069548,0.5565532458,-0.8756655794,-0.0085374604,0.5566187238
106,5.1,9.5232962426,0.5221636262,3.387,air,1,4.1341656992,0.5446731339,-0.8751629043,-0.005227726,0.5446982209
107,5.134,9.5051424461,0.5221233765,3.387,air,1,4.1519920398,0.5325568242,-0.8745011262,-0.0020247016,0.532560673
108,5.167,9.4875423512,0.5220584056,3.387,air,1,4.1688405579,0.5209329758,-0.8737276101,0.0008755174,0.5209337115
109,5.2,9.4699624085,0.5219691504,3.387,air,1,4.1852455824,0.5094590919,-0.8728334714,0.0035631681,0.5094715522
110,5.234,9.4518714598,0.5218530639,3.387,air,1,4.2016874308,0.4978113352,-0.8717954195,0.0061030132,0.4978487444
111,5.267,9.43433424,0.5217181918,3.387,air,1,4.217202585,0.4866918005,-0.8706839098,0.0083393817,0.4867632422
112,5.3,9.4168188365,0.521562631,3.387,air,1,4.2322850992,0.4757723922,-0.8694795607,0.0103446458,0.4758848399
113,5.334,9.3987959483,0.5213819316,3.387,air,1,4.2473765576,0.4647501847,-0.8681520501,0.0121634109,0.4649093274
114,5.367,9.3813261528,0.5211878816,3.387,air,1,4.2615939672,0.4542925723,-0.8667900219,0.0136837682,0.4544986103
115,5.4,9.3638793832,0.520976567,3.387,air,1,4.2753928735,0.444091402,-0.8653663917,0.0149585197,0.4443432577
116,5.434,9.3459283479,0.5207419455,3.387,air,1,4.289178491,0.4338708157,-0.8638470891,0.0160110774,0.4341661425
117,5.467,9.3285292904,0.5204989197,3.387,air,1,4.3021469211,0.4242538432,-0.8623335915,0.0167763904,0.4245854104
118,5.5,9.3111541507,0.5202418854,3.387,air,1,4.3147177779,0.4149577653,-0.8607942965,0.0172869616,0.4153176929
119,5.534,9.2932777667,0.5199635102,3.387,air,1,4.327263476,0.4057399329,-0.859195069,0.0175452029,0.4061191048
120,5.567,9.2759519232,0.5196812214,3.387,air,1,4.3390569836,0.3971668768,-0.857643852,0.0175357681,0.3975538092
121,5.6,9.2586506885,0.5193880355,3.387,air,1,4.3504854611,0.3889863379,-0.8561077821,0.0172713286,0.38936958
122,5.634,9.2408511227,0.5190756253,3.387,air,1,4.3618934079,0.3809942222,-0.8545563098,0.0167350452,0.3813615857
123,5.667,9.223600452,0.5187633843,3.387,air,1,4.372626245,0.373685554,-0.8530958738,0.0159630331,0.3740263516
124,5.7,9.2063749614,0.5184432511,3.387,air,1,4.383042814,0.3668426029,-0.851695272,0.0149496902,0.3671470939
125,5.734,9.1886540018,0.5181061935,3.387,air,1,4.3934654605,0.3603035384,-0.850330568,0.0136621029,0.3605624673
126,5.767,9.1714801478,0.5177730342,3.387,air,1,4.4033036611,0.3544750615,-0.8490970635,0.0121867925,0.3546844896
127,5.8,9.1543319615,0.5174349273,3.387,air,1,4.4128921592,0.3491770389,-0.8479675498,0.0105020322,0.3493349355
128,5.834,9.1366911287,0.5170824207,3.387,air,1,4.4225368781,0.344291819,-0.8469267127,0.0085627345,0.3443982826
129,5.9,9.1025258834,0.5163900428,3.387,air,1,4.4406896272,0.3365284644,-0.845311526,0.0042784993,0.3365556609
130,5.934,9.0849663833,0.5160312368,3.387,air,1,4.4498067702,0.3334381116,-0.8447103145,0.0018444287,0.3334432129
