"","time","d2_bw1","k_bw1","do","mf_xe","p_atm","x_loc_fit","x_vel_fit","y_loc_fit","y_vel_fit","tot_vel_fit","brnratederiv"
"16",2,5.33707643149243,0.514539256086673,2.526,0.05,1,0.295252371793897,-2.20645107152288,-4.45249365547815,-2.15237390511306,3.08239188917245,-0.0318595403732639
"17",2.033,5.3200676297173,0.515942914715699,2.526,0.05,1,0.222626105299008,-2.20164524669154,-4.5236364177651,-2.15202821603814,3.07871194412594,-0.0313687923979777
"18",2.066,5.30300426271218,0.517320344864803,2.526,0.05,1,0.150154970217002,-2.19695110198972,-4.59477957623347,-2.15160161187901,3.07505831502009,-0.0308785343222853
"19",2.1,5.28536791269787,0.518712460634534,2.526,0.05,1,0.075644360159188,-2.1922203799975,-4.6680754077512,-2.15107383421453,3.07131060537986,-0.0303735218970277
"20",2.133,5.26819710200917,0.520037705369834,2.526,0.05,1,0.00347235387081517,-2.18772093091337,-4.73920862832311,-2.15047295812371,3.06767938598182,-0.02988305861189
"21",2.166,5.250974949391,0.521337703247682,2.526,0.05,1,-0.0685590232716943,-2.18330236283345,-4.81033114992495,-2.14978242635948,3.06404531432519,-0.0293918950390956
"22",2.2,5.23317827138373,0.522650957339345,2.526,0.05,1,-0.142630035528088,-2.17882458806989,-4.88359335902949,-2.14897536192735,3.06028947842336,-0.0288846936659643
"23",2.233,5.2158549293777,0.523900440849115,2.526,0.05,1,-0.214386911397785,-2.17454180673625,-4.95468131928419,-2.14809808357998,3.05662517262483,-0.0283908793148083
"24",2.266,5.19848319719083,0.525125337277138,2.526,0.05,1,-0.286013073768387,-2.17031272340556,-5.02574563468086,-2.14712774322449,3.05293545020204,-0.0278951524856527
"25",2.3,5.18053541485367,0.526361787832959,2.526,0.05,1,-0.359675524659649,-2.16600302928369,-5.09893393345964,-2.14603078492881,3.04910105649653,-0.0273819809879805
"26",2.333,5.16306826314442,0.527537169391745,2.526,0.05,1,-0.431043199993948,-2.16185827665454,-5.16993637546931,-2.14487247591765,3.04534220512061,-0.0268811433568487
"27",2.366,5.14555546900123,0.528688286627698,2.526,0.05,1,-0.502286153757818,-2.15774369508916,-5.24090149378399,-2.14362327143189,3.0415421390343,-0.0263771884609077
"28",2.4,5.12746516974712,0.529848940921087,2.526,0.05,1,-0.575558809926991,-2.15352861002837,-5.31397333812705,-2.14224311581637,3.03757980001734,-0.0258542885551785
"29",2.433,5.10986238525027,0.530950852328421,2.526,0.05,1,-0.646551878882254,-2.14945420120019,-5.3848491384892,-2.14081563308776,3.03368504263875,-0.025342806281582
"30",2.466,5.09221657536728,0.532028481450477,2.526,0.05,1,-0.717422799267081,-2.14538996601953,-5.45567459332725,-2.13930440488282,3.02973950085619,-0.0248270368848358
"31",2.5,5.0739919388474,0.533113284176141,2.526,0.05,1,-0.790313732373701,-2.14120705307437,-5.52858951224563,-2.13766319674065,3.02561920717642,-0.0242907590733065
"32",2.533,5.05626137920422,0.534141329226924,2.526,0.05,1,-0.860936801159148,-2.13714593779814,-5.59930110777234,-2.13599216805176,3.02156504173343,-0.023765142824639
"33",2.566,5.03849035640155,0.535144739849618,2.526,0.05,1,-0.931437213851637,-2.13307852200132,-5.66995155295854,-2.13424798948602,3.01745562712171,-0.023234129791584
"34",2.6,5.02013939107303,0.536152593385895,2.526,0.05,1,-1.00394487188836,-2.12887638088197,-5.74267598240826,-2.13237850718848,3.01316324532815,-0.0226810122357787
"35",2.633,5.00228882490616,0.537105377027021,2.526,0.05,1,-1.07419349932921,-2.12478240741154,-5.81319405022864,-2.13049761457498,3.00894007327419,-0.0221379788404819
"36",2.666,4.98440037858969,0.538032855348374,2.526,0.05,1,-1.14431617841531,-2.12066947043545,-5.88364378955868,-2.12855504249805,3.00466064169997,-0.0215885220489003
"37",2.7,4.96593115747312,0.538961667777293,2.526,0.05,1,-1.21643033533007,-2.11640862826134,-5.95615540270492,-2.12649270414495,3.00019277756626,-0.0210153619220403
"38",2.733,4.94796849121276,0.539836850816478,2.526,0.05,1,-1.28629205224124,-2.1122476900812,-6.02646253448642,-2.12443501420096,2.99579946488686,-0.0204519011758979
"39",2.766,4.92997062144901,0.540685761864,2.526,0.05,1,-1.35602221013804,-2.10805944556629,-6.09669845928757,-2.12232468816553,2.99135031516507,-0.0198810939450778
"40",2.833,4.89332500349347,0.542326893902273,2.526,0.05,1,-1.49718148735621,-2.09946545948077,-6.23907969265398,-2.1178852431811,2.98214572394394,-0.0186984458189929
"41",2.866,4.87522613242256,0.543093764096594,2.526,0.05,1,-1.56649884620858,-2.09518607665046,-6.30910075991637,-2.11562400952265,2.97752743823774,-0.0181037325077875
"42",2.9,4.85654599797667,0.543854618913216,2.526,0.05,1,-1.63776903432936,-2.0907444854461,-6.38117079764335,-2.11324244672374,2.97271023513195,-0.0174822277620044
"43",2.933,4.83838446681759,0.544564205923864,2.526,0.05,1,-1.70679711865,-2.0864022889813,-6.45105123830371,-2.11087938858087,2.96797680324525,-0.0168702661490341
