"","radtime","narrow.band","qrad.narrow","wide.band","qrad.wide"
"2643",21.41,0,0,-2.83063200000005e-08,-0.0164609113666669
"2644",21.42,0,0,-2.83063200000005e-08,-0.0164609113666669
"2645",21.43,0,0,-2.83063200000005e-08,-0.0164609113666669
"2646",21.44,0,0,-2.83063200000005e-08,-0.0164609113666669
"2647",21.45,0,0,-2.83063200000005e-08,-0.0164609113666669
"2648",21.46,4.713693e-07,0.01786489647,9.9657768e-07,0.579537603633333
"2649",21.47,2.327013e-07,0.00881937927000001,7.52557679999999e-07,0.437633195299999
"2650",21.48,2.565681e-07,0.00972393099,8.01361680000002e-07,0.466014076966668
"2651",21.49,2.625348e-07,0.00995006891999999,8.01361680000002e-07,0.466014076966668
"2652",21.5,0,0,2.15713680000001e-07,0.125443496966667
"2653",21.51,0,0,-2.83063200000005e-08,-0.0164609113666669
"2654",21.52,0,0,4.10929679999999e-07,0.238967023633333
"2655",21.53,0,0,4.10929679999999e-07,0.238967023633333
"2656",21.54,4.17669e-08,0.00158296551,5.57341680000001e-07,0.324109668633334
"2657",21.55,1.19333999999999e-08,0.000452275859999997,5.08537679999998e-07,0.295728786966665
"2658",21.56,2.267346e-07,0.00859324134,7.52557679999999e-07,0.437633195299999
"2659",21.57,2.506014e-07,0.00949779305999999,8.01361680000002e-07,0.466014076966668
"2660",21.58,2.446347e-07,0.00927165513000001,7.52557679999999e-07,0.437633195299999
"2661",21.59,0,0,-2.83063200000005e-08,-0.0164609113666669
"2662",21.6,0,0,-2.83063200000005e-08,-0.0164609113666669
"2663",21.61,0,0,-2.83063200000005e-08,-0.0164609113666669
"2664",21.62,0,0,-2.83063200000005e-08,-0.0164609113666669
"2665",21.63,0,0,-2.83063200000005e-08,-0.0164609113666669
"2666",21.64,0,0,-2.83063200000005e-08,-0.0164609113666669
"2667",21.65,0,0,-2.83063200000005e-08,-0.0164609113666669
"2668",21.66,0,0,-2.83063200000005e-08,-0.0164609113666669
"2669",21.67,0,0,-2.83063200000005e-08,-0.0164609113666669
"2670",21.68,0,0,-2.83063200000005e-08,-0.0164609113666669
"2671",21.69,0,0,-2.83063200000005e-08,-0.0164609113666669
"2672",21.7,0,0,-2.83063200000005e-08,-0.0164609113666669
"2673",21.71,0,0,-2.83063200000005e-08,-0.0164609113666669
"2674",21.72,0,0,-2.83063200000005e-08,-0.0164609113666669
"2675",21.73,0,0,-2.83063200000005e-08,-0.0164609113666669
"2676",21.74,0,0,-2.83063200000005e-08,-0.0164609113666669
"2677",21.75,0,0,-2.83063200000005e-08,-0.0164609113666669
"2678",21.76,0,0,-2.83063200000005e-08,-0.0164609113666669
"2679",21.77,0,0,-2.83063200000005e-08,-0.0164609113666669
"2680",21.78,0,0,-2.83063200000005e-08,-0.0164609113666669
"2681",21.79,0,0,-2.83063200000005e-08,-0.0164609113666669
"2682",21.8,0,0,-2.83063200000005e-08,-0.0164609113666669
