expname,fuel,p,do,fiber,O2,He,CO2,N2,H2O,Hep,Methanol,Xe,D,tdelay,tofc
C03H302,Heptane,1.008,2.19,No,0.17805,0,0.14906,0.67072,0.00134,0.00006,0.00077,0,0,0,0
C07M101,Methanol,1.001,3.28,No,0.13609,0,0.3634,0.50019,0.00015,0,0.00017,0,0,0,0
C07M201,Methanol,1.002,2.37,No,0.13604,0,0.3634,0.50016,0.0002,0,0.00021,0,0,0,0
C15M101,Methanol,1.004,3.13,No,0.20759,0,0.15458,0.63686,0.00038,0,0.00059,0,0,0,0
C15M201,Methanol,1.008,3.16,No,0.20744,0,0.15464,0.63676,0.00054,0,0.00062,0,0,0,0
C15M301,Methanol,1.009,3.57,No,0.2071,0,0.15479,0.6366,0.00093,0,0.00059,0,0,0,0
C03H501,Heptane,1,3.82,No,0.17994,0,0.14888,0.67062,0.00043,0.00014,0,0,0,0,0
C03H601,Heptane,1.003,2.49,No,0.17978,0,0.14896,0.67058,0.00053,0.00014,0,0,0,0,0
C03H701,Heptane,1.003,1.6,No,0.17971,0,0.14901,0.67057,0.00058,0.00014,0,0,0,0,0
C08H502,Heptane,0.7,2.64,No,0.23954,0,0.20026,0.55994,0.00022,0.00003,0,0,0,0,0
C08H601,Heptane,0.7,3.05,No,0.23913,0,0.20044,0.55982,0.00048,0.00013,0,0,0,0,0
C08M501,Methanol,0.706,4.59,No,0.23564,0,0.19956,0.5601,0.00055,0,0.00415,0,0,0,0
C08M601,Methanol,0.707,3.07,No,0.23542,0,0.19964,0.56,0.00078,0,0.00416,0,0,0,0
C09H501,Heptane,0.702,3.42,No,0.22812,0,0.24969,0.52137,0.00061,0.0002,0,0,0,0,0
C09H601,Heptane,0.703,2.19,No,0.22789,0,0.2498,0.52132,0.00076,0.00024,0,0,0,0,0
C02H101,Heptane,0.998,3.51,No,0.1891,0,0.10041,0.70991,0.00046,0.00012,0,0,0,0,0
C02H201,Heptane,0.999,2.6,No,0.18883,0,0.10055,0.70983,0.00064,0.00016,0,0,0,0,0
C02H202,Heptane,0.999,1.79,No,0.18875,0,0.1006,0.70981,0.00069,0.00016,0,0,0,0,0
C09M501,Methanol,0.703,3.81,No,0.23,0,0.25,0.52,0,0,0,0,0,0,0
C09M502,Methanol,0.704,3.46,No,0.23,0,0.25,0.52,0,0,0,0,0,0,0
C09M601,Methanol,0.704,2.91,No,0.23,0,0.25,0.52,0,0,0,0,0,0,0
C09M701,Methanol,0.706,2.56,No,0.23,0,0.25,0.52,0,0,0,0,0,0,0
C02M101,Methanol,0.997,3.48,No,0.19,0,0.1,0.71,0,0,0,0,0,0,0
C02M201,Methanol,0.998,2.56,No,0.19,0,0.1,0.71,0,0,0,0,0,0,0
C03M501,Methanol,1,3.84,No,0.18,0,0.15,0.67,0,0,0,0,0,0,0
C03M601,Methanol,1,2.83,No,0.18,0,0.15,0.67,0,0,0,0,0,0,0
C03M701,Methanol,1,1.85,No,0.18,0,0.15,0.67,0,0,0,0,0,0,0
C04M101,Methanol,1,3.55,No,0.17,0,0.2,0.63,0,0,0,0,0,0,0
C04M201,Methanol,1,2.86,No,0.17,0,0.2,0.63,0,0,0,0,0,0,0
C04H101,Heptane,1,3.9,No,0.17,0,0.2,0.63,0,0,0,0,0,0,0
C04H201,Heptane,1,3.04,No,0.17,0,0.2,0.63,0,0,0,0,0,0,0
C01H501,Heptane,1,3.25,No,0.2,0,0.05,0.75,0,0,0,0,0,0,0
C01H601,Heptane,1,3.2,No,0.2,0,0.05,0.75,0,0,0,0,0,0,0
C01H701,Heptane,1,2.3,No,0.2,0,0.05,0.75,0,0,0,0,0,0,0
C01M501,Methanol,1,3.45,No,0.2,0,0.05,0.75,0,0,0,0,0,0,0
C01M602,Methanol,1,2.59,No,0.2,0,0.05,0.75,0,0,0,0,0,0,0
C01M603,Methanol,1,2.42,No,0.2,0,0.05,0.75,0,0,0,0,0,0,0
N01M101,Methanol,1,3.36,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N01M201,Methanol,1,2.8,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N01M302,Methanol,1,-,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N01H101,Heptane,1,-,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N01H102,Heptane,1,-,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N01H201,Heptane,1,-,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N01H202,Heptane,1,-,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N02H101,Heptane,1,-,No,0.16,0,0,0.84,0,0,0,0,0,0,0
N02H201,Heptane,1,-,No,0.16,0,0,0.84,0,0,0,0,0,0,0
N02H202,Heptane,1,-,No,0.16,0,0,0.84,0,0,0,0,0,0,0
N02H203,Heptane,1,-,No,0.16,0,0,0.84,0,0,0,0,0,0,0
N03H101,Heptane,1,-,No,0.15,0,0,0.85,0,0,0,0,0,0,0
N03H201,Heptane,1,-,No,0.15,0,0,0.85,0,0,0,0,0,0,0
N04H101,Heptane,1,-,No,0.14,0,0,0.86,0,0,0,0,0,0,0
N04H201,Heptane,1,-,No,0.14,0,0,0.86,0,0,0,0,0,0,0
N04M101,Methanol,1,-,No,0.14,0,0,0.86,0,0,0,0,0,0,0
N04M201,Methanol,1,-,No,0.14,0,0,0.86,0,0,0,0,0,0,0
N05M101,Methanol,1,-,No,0.13,0,0,0.87,0,0,0,0,0,0,0
N05M201,Methanol,1,-,No,0.13,0,0,0.87,0,0,0,0,0,0,0
N06M101,Methanol,1,-,No,0.12,0,0,0.88,0,0,0,0,0,0,0
N06M201,Methanol,1,-,No,0.12,0,0,0.88,0,0,0,0,0,0,0
N06M202,Methanol,1,-,No,0.12,0,0,0.88,0,0,0,0,0,0,0
H01M102,Methanol,1,-,No,0.2,0.05,0,0.75,0,0,0,0,0,0,0
H01M104,Methanol,1,-,No,0.2,0.05,0,0.75,0,0,0,0,0,0,0
H01H101,Heptane,1,-,No,0.2,0.05,0,0.75,0,0,0,0,0,0,0
H01H102,Heptane,1,-,No,0.2,0.05,0,0.75,0,0,0,0,0,0,0
H01H103,Heptane,1,-,No,0.2,0.05,0,0.75,0,0,0,0,0,0,0
H02M101,Methanol,1,-,No,0.19,0.1,0,0.71,0,0,0,0,0,0,0
H03M101,Methanol,1,-,No,0.18,0.15,0,0.67,0,0,0,0,0,0,0
N01H401,Heptane,1,-,No,0.21,0,0,0.79,0,0,0,0,0,0,0
N01H502,Heptane,1.011,2.49,No,0.21,0,0,0.79,0,0,0,0,0,0,0
H02H101,Heptane,1,-,No,0.19,0.1,0,0.71,0,0,0,0,0,0,0
